AID,sex,intoxication,intercourse_dummy,intox_most_recent_sex
90572285,2,never,1,never
90572293,2,occasionally,1,sober
90572303,2,never,0,never
90572323,1,occasionally,0,never
90572325,2,occasionally,1,sober
90572341,1,never,1,never
90572369,1,occasionally,0,never
90572383,1,never,0,never
90572384,1,never,1,never
90572389,2,never,1,never
90572393,1,never,1,never
90572397,2,never,0,never
90572448,1,never,1,never
90572460,1,never,0,never
90572469,2,never,0,never
90572667,2,occasionally,1,sober
90572862,1,never,1,never
90572864,1,never,0,never
90572900,2,never,0,never
90572909,1,never,0,never
90572920,2,occasionally,0,never
90572922,2,never,0,never
90572925,2,never,0,never
90572940,1,frequently,1,sober
90572974,2,never,0,never
90572983,2,occasionally,1,sober
90572984,2,never,1,never
90572986,1,occasionally,0,never
90572991,2,never,0,never
90572998,1,occasionally,1,sober
90573011,2,frequently,1,sober
90573013,1,never,NA,never
90573117,2,occasionally,1,sober
90573194,2,occasionally,1,sober
90573212,1,never,0,never
90573217,2,never,1,never
90573222,1,never,0,never
90573409,1,occasionally,1,sober
90573491,2,occasionally,0,never
90573618,2,never,1,sober
90573818,1,never,1,never
90573819,1,frequently,1,intoxicated
90573897,1,never,1,never
90573914,2,occasionally,1,sober
90573940,2,never,0,never
90573941,2,frequently,0,never
90573945,2,never,0,never
90573946,2,never,1,sober
90573947,1,never,1,never
90573954,2,never,0,never
90573956,2,never,NA,never
90573959,1,never,0,never
90573992,1,never,1,never
90573994,1,occasionally,1,sober
90574133,1,occasionally,1,sober
90574145,2,occasionally,1,sober
90574197,1,never,0,never
90574204,2,occasionally,1,sober
90574205,2,never,0,never
90574218,1,frequently,1,sober
90574307,2,never,0,never
90574335,2,occasionally,0,never
90574392,2,never,0,never
90574415,1,never,1,sober
90574489,2,occasionally,1,sober
90574494,2,never,1,sober
90574499,2,never,1,sober
90574503,2,never,1,sober
90574538,1,never,1,sober
90574697,1,never,0,never
90574742,2,never,1,never
90574744,2,never,0,never
90574805,1,never,0,never
90574817,1,never,0,never
90574835,2,frequently,1,sober
90574884,2,never,1,sober
90574890,2,never,1,sober
90574918,1,never,1,never
90574935,2,never,1,sober
90574992,2,never,0,never
90575005,1,never,0,never
90575009,2,occasionally,0,never
90575027,2,never,1,sober
90575039,1,frequently,0,never
90575111,2,occasionally,0,never
90575117,1,never,0,never
90575118,1,never,0,never
90575126,2,never,0,never
90575131,2,occasionally,0,never
90575158,1,never,1,sober
90575160,2,never,1,never
90575167,2,occasionally,0,never
90575188,1,occasionally,1,sober
90575202,2,never,NA,never
90575205,1,never,1,never
90575207,1,never,0,never
90575210,1,never,0,never
90575216,2,never,0,never
90575229,1,never,1,sober
90575231,2,never,0,never
90575243,1,never,0,never
90575247,2,never,0,never
90575250,2,never,1,sober
90575257,1,never,1,never
90575263,2,never,0,never
90575266,1,never,1,sober
90575279,2,never,0,never
90575288,1,frequently,1,sober
90575307,2,never,0,never
90575309,1,never,0,never
90575318,1,occasionally,1,sober
90575330,1,occasionally,0,never
90575333,1,frequently,0,never
90575354,2,never,0,never
90575378,2,never,0,never
90575390,1,frequently,1,sober
90575465,1,occasionally,1,sober
90575473,2,never,0,never
90575521,1,never,1,never
90575623,2,never,1,never
90575834,1,never,1,never
90575836,1,occasionally,0,never
90575871,1,occasionally,0,never
90575873,2,occasionally,0,never
90575919,1,never,0,never
90575931,1,never,0,never
90575936,2,occasionally,1,intoxicated
90575940,1,never,0,never
90575942,2,never,0,never
90575943,2,never,0,never
90575944,2,never,0,never
90575946,2,never,0,never
90575948,2,never,0,never
90575950,2,never,0,never
90575966,1,never,0,never
90575975,2,never,0,never
90575978,2,never,1,sober
90575982,2,never,0,never
90575991,2,never,0,never
90575994,2,never,0,never
90576026,1,never,1,never
90576057,2,occasionally,0,never
90576104,2,never,0,never
90576117,1,occasionally,1,sober
90576119,2,occasionally,1,sober
90576142,2,occasionally,1,sober
90576148,2,never,0,never
90576245,2,occasionally,1,sober
90576248,1,never,0,never
90576285,2,never,0,never
90576320,2,never,1,sober
90576336,1,never,0,never
90576357,1,occasionally,1,sober
90576412,2,never,0,never
90576445,2,occasionally,1,sober
90576481,2,never,0,never
90576485,1,never,0,never
90576506,1,occasionally,0,never
90576522,2,never,0,never
90576531,1,never,0,never
90576552,1,never,1,sober
90576561,2,never,0,never
90576619,2,occasionally,1,sober
90576633,1,frequently,1,sober
90576687,2,never,0,never
90576754,2,occasionally,1,sober
90576758,1,frequently,1,sober
90576759,2,occasionally,1,sober
90576762,1,never,0,never
90576811,2,occasionally,0,never
90576837,1,never,0,never
90576844,1,never,0,never
90576919,1,occasionally,1,sober
90576925,2,never,1,sober
90576928,2,never,0,never
90576941,2,never,0,never
90576942,1,never,1,never
90576948,2,frequently,1,sober
90576964,1,never,0,never
90576987,1,occasionally,1,sober
90577063,1,occasionally,1,sober
90577065,1,frequently,0,never
90577068,1,never,1,sober
90577114,2,frequently,0,never
90577119,1,never,NA,never
90577161,1,occasionally,0,never
90577167,2,occasionally,1,sober
90577224,2,never,0,never
90577225,1,frequently,0,never
90577227,2,never,0,never
90577229,2,never,0,never
90577255,2,never,0,never
90577256,2,never,1,sober
90577259,2,never,1,never
